name,latitude,longitude
Aachen,50.776642,6.08342
Aberdeen,57.143688,-2.09814
Aix-en-Provence,43.528301,5.44973
Alcalá de Henares,40.482052,-3.35996
Alicante,38.345169,-0.48149
Almería,36.838139,-2.45974
Amersfoort,52.154999,5.3875
Amiens,49.900002,2.3
Amsterdam,52.374031,4.88969
Angers,47.466671,-0.55
Antwerpen,51.219891,4.40346
Apeldoorn,52.209999,5.96944
Arezzo,43.461391,11.87691
Arnhem,51.98,5.91111
Athens,37.97945,23.716221
Augsburg,48.366669,10.88333
Avignon,43.948341,4.80892
Barcelona,41.38879,2.15899
Bari,41.117729,16.851179
Basel,47.558399,7.57327
Bath,51.377949,-2.35907
Belfast,54.583328,-5.93333
Belgrade,44.804008,20.46513
Bergamo,45.697979,9.66895
Bergen,60.39299,5.32415
Berlin,52.524368,13.41053
Bern,46.94809,7.44744
Besançon,47.248779,6.01815
Bielefeld,52.033329,8.53333
Bilbao,43.262711,-2.92528
Birmingham,52.481419,-1.89983
Blackpool,53.816669,-3.05
Bochum,51.481651,7.21648
Bologna,44.493809,11.33875
Bonn,50.734379,7.09548
Bordeaux,44.840439,-0.5805
Bournemouth,50.720482,-1.8795
Bradford,53.793911,-1.75206
Braga,41.55032,-8.42005
Bratislava,48.148159,17.106741
Braunschweig,52.265942,10.52673
Braşov,45.648609,25.606131
Breda,51.586559,4.77596
Bremen,53.075161,8.80777
Brescia,45.52478,10.22727
Brest,48.400002,-4.48333
Brighton,50.828381,-0.13947
Bristol,51.455231,-2.59665
Brno,49.195221,16.60796
Brugge,51.20892,3.22424
Brussels,50.850449,4.34878
Bucharest,44.432251,26.10626
Budapest,47.498009,19.039909
Burgos,42.349998,-3.7
Bydgoszcz,53.123501,18.00762
Cagliari,39.207378,9.13462
Cambridge,52.200001,0.11667
Cardiff,51.48,-3.18
Cartagena,37.605122,-0.98623
Catania,37.502129,15.08719
Chemnitz,50.833328,12.91667
Chişinău,47.005562,28.8575
Clermont-Ferrand,45.779659,3.08628
Cluj-Napoca,46.76667,23.6
Coimbra,40.205639,-8.41955
Como,45.809978,9.08744
Constanţa,44.183331,28.65
Copenhagen,55.675941,12.56553
Cork,51.897968,-8.47061
Coventry,52.406559,-1.51217
Córdoba,37.883331,-4.76667
Debrecen,47.533329,21.633329
Derby,52.922771,-1.47663
Dijon,47.316669,5.01667
Donostia / San Sebastián,43.312832,-1.97499
Dortmund,51.514938,7.466
Dresden,51.050892,13.73832
Dublin,53.333061,-6.24889
Duisburg,51.432468,6.76516
Düsseldorf,51.221722,6.77616
Eastbourne,50.768711,0.28453
Edinburgh,55.952061,-3.19648
Eindhoven,51.44083,5.47778
Elche,38.26218,-0.70107
Erfurt,50.978699,11.03283
Espoo,60.2052,24.652201
Essen,51.45657,7.01228
Ferrara,44.826778,11.62071
Firenze,43.76667,11.25
Frankfurt am Main,50.11552,8.68417
Freiburg,47.995899,7.85222
Funchal,32.633331,-16.9
Gdańsk,54.352051,18.64637
Gdynia,54.51889,18.531879
Gelsenkirchen,51.5075,7.12283
Gent,51.049999,3.71667
Gijón,43.535728,-5.66152
Glasgow,55.86515,-4.25763
Granada,37.188171,-3.60667
Graz,47.066669,15.45
Grenoble,45.166672,5.71667
Groningen,53.21917,6.56667
Göteborg,57.707161,11.96679
Haarlem,52.38084,4.63683
Hagen,51.360809,7.47168
Hamburg,53.575321,10.01534
Hannover,52.370522,9.73322
Harrogate,53.99078,-1.5373
Heidelberg,49.407681,8.69079
Helsinki,60.169521,24.93545
Hoofddorp,52.302502,4.68889
Hull,53.744598,-0.33525
Innsbruck,47.262661,11.39454
Jerez de la Frontera,36.686451,-6.13606
Kaliningrad,54.70649,20.51095
Karlsruhe,49.004719,8.38583
Kassel,51.316669,9.5
Katowice,50.258419,19.02754
Kaunas,54.900002,23.9
Kazan,55.788738,49.122139
Kiel,54.321331,10.13489
Kiev,50.454659,30.5238
Košice,48.713951,21.25808
Kraków,50.061432,19.936581
Krasnodar,45.044842,38.976028
Krefeld,51.339211,6.58615
Köln,50.933331,6.95
L'viv,49.838261,24.023239
La Spezia,44.110538,9.84339
Las Palmas de Gran Canaria,28.09973,-15.41343
Lausanne,46.515999,6.63282
Le Havre,49.493801,0.10767
